source,Course Code,Course Name,Unnamed: 3
communication,COURSECODE ,Course Name,
communication,SUS 1010,Strategies for University Success,
communication,MTH 1109,College Algebra,
communication,ENG 1106,Composition I,
communication,IST 1010,Introduction to Information Systems,
communication,FLA 1010,Fundamentals of Photography & Cinematography,
communication,FLA 1005,History of Film & Video,
communication,FLA 1015,Fundamental of Scripting,
communication,FLA 1020,Film and video production fundamentals,
communication,SND 1005,History & Theory of Sound for Film & Video,
communication,GRM 2000,Introduction to Research Methods,
communication,SND 2010,Sound Physics,
communication,FLA 1035,Introduction to Production Design and Art Directing,
communication,FLA 1040,Camera Operation Techniques and Aesthetics,
communication,ENG 2206,Composition II,
communication,FLA 2010,The Business of Film,
communication,FLA 2015,Fundamentals of Film Directing,
communication,FRN 1000,Foreign Language I (French),
communication,SPN 1000,Foreign Language I (Spanish),
communication,JPN 1000,Foreign Language I (Japanese),
communication,CHI 1000,Foreign Language I (Chinese),
communication,SWA 1000,Foreign Language I (Swahili),
communication,ARB 1000,Foreign Language I (Arabic),
communication,CMS 3700,Community Service,
communication,SND 2015,Sound Design and Aesthetics,
communication,FLA 2020,Principles of Writing for Dramatic and Factual Production,
communication,FRN 1001,Foreign Language II (French),
communication,SPN 1001,Foreign Language II (Spanish),
communication,JPN 1001,Foreign Language II (Japanese),
communication,CHI 1001,Foreign Language II (Chinese),
communication,SWA 1001,Foreign Language II (Swahili),
communication,ARB 1001,Foreign Language II (Arabic),
communication,CIN 2005,Visual Production Design,
communication,FLA 2025,World Approaches to Film,
communication,FLA 2030,Entertainment Law & Ethics of Film Production & Directing,
communication,FLA 2035,Film Theory and Criticism,
communication,SND 3005,Sound Mixing,
communication,SND 3010,Sound Script Analysis and Project,
communication,PRD 3005,The Art of the Pitch,
communication,PRD 4020,Costume and Makeup for Film,
communication,SEN 4800,Integrated Senior Seminar,
communication,PRD 4010,Producing from Greenlight to Completion,
communication,PRD 4910,Internship,
communication,SCR 3005,Screenwriting: Characters & Genres,
communication,SCR 3010,Writing for the Short Film,
communication,SCR 3015,Writing for Television Drama,
communication,SCR 4005,Feature Film Writing,
communication,PRD 4005,Screen Acting,
communication,DIR 3005,Art Direction and Production Design,
communication,DIR 3010,Directing Actors,
communication,DIR 3015,Location and Studio Directing,
communication,DIR 4005,Directing the Master Scene,
communication,CIN 3005,Advanced Color Theory and Color Timing for Cinematography,
communication,CIN 3010,Shooting the Master Scene,
communication,CIN 3015,Visual Effects and Green Screen Cinematography,
communication,CIN 4005,Studio Production,
communication,EDT 3005,Sound and VFX for Film and Video,
communication,EDT 3010,Advanced Color Theory and Color Timing for Editing,
communication,EDT 3015,After Effects,
communication,EDT 4005,Editing the Narrative,
communication,BUS 1010,Introduction to Business,
communication,COM 1500,Intercultural Communication,
communication,ECO 1010,Principles of Microeconomics,
communication,ENT 1010,Introduction to Entrepreneurship,
communication,HRT 1010,Introduction to Hospitality & Tourism Management,
communication,MGT 3010,Overview of Management Practice,
communication,MKT 3010,Principles of Marketing,
communication,LIT 4785,African Authors Seminar,
communication,PHL 3310,Ethics and Value Theory,
communication,PSY 3135,Psychology of Communication,
communication,SOC 3301,Social Problems,
communication,SOC 3305,Deviant Behaviour,
communication,GEO 3000,Geography and the Environment,
communication,ANM 1010,History of Film Animation,
communication,ANM 1020,Fundamentals of Animation,
communication,ANM 1030,Introduction to Drawing,
communication,ANM 1040,Character Design,
communication,ANM 1050,Cinema and Television Equipment Workshop,
communication,ANM 1060,Illustration and Environment Design,
communication,ANM 1070,The Art of the Storyboard and Animatic Design,
communication,ANM 2010,Fundamentals of Scripting for Animation,
communication,ANM 2020,Introduction to 2D and 3D Animation,
communication,ANM 2040,Acting for Animators,
communication,ANM 2050,Camera Language and Cinematography,
communication,ANM 2055,Introduction to Coding,
communication,ANM 2070,Theoretical Perspective in Film and Animation,
communication,ANM 2080,Composition and Sound Design for Animation,
communication,ANM 2090,Theories of Popular Media and Art,
communication,ANM 3000,Fundamentals of Compositing,
communication,ANM 3010,Storyboarding and the Script,
communication,ANM 3015,Character Rigging,
communication,ANM 3040,Law and Ethics in the Animation Business,
communication,ANM 3060,The Business of Animation Content,
communication,ANM 4015,Aesthetic of the African Story,
communication,ANM 4050,Advanced Scripting for Animation and Production,
communication,ANM 4060,Senior Project and Portfolio Development,
communication,ANM 4090,Internship,
communication,ANM 4055,Digital Effects for Film and Television,
communication,ANM 4045,3D Modeling & Design Methods,
communication,ANM 4035,Advanced 2D Computer Animation,
communication,ANM 4030,Advanced 3D Animation,
communication,ANM 4020,3D Environment and Effects,
communication,ANM 4080,Interactive Design,
communication,ANM 4092,Game Programming,
communication,ANM 4082,Virtual and Augmented Design,
communication,ANM 4085,Gaming Environment Design,
communication,JRN 1106,History and Theory of Public Relations,
communication,JRN 1100,Introduction to Broadcast Media Techniques and Technology,
communication,JRN 1109,Introduction to Mass Communication,
communication,JRN 2004,Public Relations Writing,
communication,JRN 2103,Fundamentals of Photography,
communication,JRN 2106,Principles of Broadcasting,
communication,JRN 2107,Writing for Broadcast Media,
communication,JRN 2202,Introduction to Print Media Techniques & Technology,
communication,JRN 2223,Theories of Mass Communication,
communication,JRN 3000,News Reporting & Writing,
communication,JRN 3003,Media Law,
communication,JRN 3004,Media Ethics,
communication,JRN 3006,International Mass Media,
communication,JRN 3015,Media Management,
communication,JRN 3024,Communication Research,
communication,JRN 3027,New Media Production,
communication,JRN 3029,Media Studies,
communication,JRN 4900,Project,
communication,JRN 4910,Internship,
communication,JRN 4911,Media Tour Experience,
communication,JRN 3002,Introduction to News Editing,
communication,JRN 3020,Development Journalism,
communication,JRN 3301,Feature Writing,
communication,JRN 3922,Photojournalism,
communication,JRN 4031,Print Media Production,
communication,JRN 4401,Editorial Writing,
communication,JRN 3010,Television & Video Production I,
communication,JRN 3012,Broadcast Presentation,
communication,JRN 3013,Broadcast Journalism,
communication,JRN 3321,Radio Production I,
communication,JRN 4013,Broadcast Screenwriting,
communication,JRN 4030,Television & Video Production II,
communication,JRN 2109,History & Theory of Advertising,
communication,JRN 3018,Organizational Communication,
communication,JRN 3901,Principles of Advertising,
communication,JRN 3911,Principles of Public Relations,
