Course Code, Course Name,Unnamed: 2
SUS1010,Strategies for University Success,
MTH1109,College Algebra,
ENG1106,Composition I,
IST1010,Introduction to Information Systems,
FIL1010,Fundamentals of Information Literacy,
FLA1005,History of Film & Video,
FLA1010,Fundamentals of Photography & Cinematography,
FLA1015,Fundamental of Scripting,
FLA1020,Film and video production fundamentals,
SND1005,History & Theory of Sound for Film & Video,
FLA1030,Fundamentals of Film Editing,
GRM2000,Introduction to Research Methods,
SND2010,Sound Physics,
FLA1035,Introduction to production Design and Art Directing,
FLA1040,Camera Operation Techniques and Aesthetics,
ENG2206,Composition II,
FLA2010,The Business of Film  Culture and Society,
FLA2015,Fundamentals of film directing,
FRN1000,French 1,
SPN1000,Spanish 1,
JPN1000,Japanese 1,
CHI1000,Chinese 1,
SWA1000,Swahili 1,
ARB1000,Arabic 1,
CMS3700,Community Service,
SND2015,Sound Design and Aesthetics,
FLA2020,Principles of Writing for Dramatic and Factual Production,
FRN1001,French 2,
SPN1001,Spanish 2,
JPN1001,Japanese 2,
CHI1001,Chinese 2,
SWA1001,Swahili 2,
ARB1001,Arabic 2,
FLA2025,World Approaches to Film,
FLA2030,Entertainment Law & Ethics of Film Production & Directing,
FLA2035,Film Theory and Criticism,
SND3005,Sound Mixing,
SND3010,Sound Script Analysis and Project,
PRD3005,The Art of the Pitch,
PRD4020,Costume and Makeup for Film,
SEN4800,Integrated Senior Seminar,
PRD4010,Producing from Greenlight to Completion,
PRD4910,Internship,
SCR3005,Screen writing: Characters & Genres,
SCR3010,Writing for the short film,
SCR3015,Writing for Television Drama,
SCR4005,Feature Film Writing,
PRD4005,Screen Acting,
DIR3005,Art Direction and Production Design,
DIR3010,Directing Actors,
DIR3015,Location and Studio Directing,
DIR4005,Directing the Master Scene,
CIN3005,Advanced Color Theory and Color Timing for Cinematography,
CIN3010,Shooting the Master Scene,
CIN3015,Visual Effects and Green Screen Cinematography,
CIN4005,Studio Production,
EDT3005,Sound and VFX for Film and Video,
EDT3010,Advanced Color Theory and color Timing for Editing,
EDT3015,After Effects,
EDT4005,Editing the Narrative,
BUS1010,Introduction to Business,
ECO1010,Principles of Microeconomics,
ENT1010,Introduction to Entrepreneurship,
HRT1010,Introduction to Hospitality & Tourism Management,
COM1500,Intercultural Communication,
GNS2000,Introduction to Gender Studies,
MGT3010,Overview of Management Practice,
MKT3010,Principles of Marketing,
PSY3135,Psychology of Communication,
SOC3301,Social Problems,
SOC3305,Deviant Behaviour,
GEO3000,Geography and the Environment,
LIT4785,African Authors Seminar,
PHL3310,Ethics and Value Theory,
ANM1010,History of Film Animation,
ANM1020,Fundamentals of Animation,
ANM1030,Introduction to Drawing,
ANM1040,Character Design,
ANM1050,Cinema and Television Equipment Workshop,
ANM1060,Illustration and Environment Design,
ANM1070,The Art of the Storyboard and Animatic Design,
ANM2010,Fundamentals of Scripting for Animation,
ANM2020,Introduction to 2D and 3D Animation,
ANM2040,Acting for Animators,
ANM2050,Camera Language and Cinematography,
ANM2055,Introduction to Coding,
ANM2070,Theoretical Perspective in Film and Animation,
ANM2080,Composition and Sound Design for Animation,
ANM2090,Theories of Popular Media and Art,
ANM3000,Fundamentals of Compositing,
ANM3010,Storyboarding and the Script,
ANM3015,Character Rigging,
ANM3040,Law and Ethics in the Animation Business,
ANM3060,The Business of Animation Content,
ANM4015,Aesthetic of the African Story,
ANM4050,Advanced Scripting for Animation and Production,
ANM4060,Senior Project and Portfolio Development,
ANM4055,Digital Effects for Film and Television,
ANM4045,3D Modeling & Design Methods,
ANM4035,Advanced 2D Computer Animation,
ANM4030,Advanced 3D Animation,
ANM4020,3D Environment and Effects,
ANM4080,Interactive Design,
ANM4092,Game Programming,
ANM4082,Virtual and Augmented Design,
ANM4085,Gaming Environment Design,
ANM4090,Artificial Intelligence in Gaming,
JRN1106,History and Theory of Public Relations,
JRN1100,Introduction to Broadcast Media Techniques and Technology,
JRN1109,Introduction to Mass Communication,
JRN2004,Public Relations Writing,
JRN2103,Fundamentals of Photography,
JRN2106,Principles of Broadcasting,
JRN2107,Writing for Broadcast Media,
JRN2202,Introduction to Print Media Techniques & Technology,
JRN2223,Theories of Mass Communication,
JRN3000,News Reporting & Writing,
JRN3003,Media Law,
JRN3004,Media Ethics,
JRN3006,International Mass Media,
JRN3015,Media Management,
JRN3024,Communication Research,
JRN3027,New Media Production,
JRN3029,Media Studies,
JRN4900,Project,
JRN4910,Internship,
JRN4911,Media Tour Experience,
JRN3002,Introduction to News Editing,
JRN3020,Development Journalism,
JRN3301,Feature Writing,
JRN3922,Photojournalism,
JRN4031,Print Media Production,
JRN4401,Editorial Writing,
JRN3010,Television & Video Production I,
JRN3012,Broadcast Presentation,
JRN3013,Broadcast Journalism,
JRN3321,Radio Production I,
JRN4013,Broadcast Screenwriting,
JRN4030,Television & Video Production II,
JRN2109,History & Theory of Advertising,
JRN3018,Organizational Communication,
JRN3901,Principles of Advertising,
JRN4033,Advertising Content & Media Audiences,
